,feature,importance
297,percent_pareto_durations__weekday__day__call,0.0
298,percent_pareto_durations__weekday__night__call,0.006328984413284742
299,percent_pareto_durations__weekend__night__call,0.0
300,number_of_interactions__allweek__day__call,0.0
301,number_of_interactions__allweek__day__text,0.0
302,number_of_interactions__weekday__allday__call,0.0
303,number_of_interactions__weekday__day__call,0.0
304,number_of_interactions__weekday__day__text,0.0
305,number_of_interactions__weekday__night__text,0.004656791947378611
306,number_of_interactions__weekend__allday__call,0.0
307,number_of_interactions__weekend__day__call,0.0
308,number_of_interaction_in__allweek__allday__call,0.0
309,number_of_interaction_in__allweek__day__text,0.007561327071099398
310,number_of_interaction_in__allweek__night__text,0.0010170308057378223
311,number_of_interaction_in__weekday__allday__text,0.07148925568180652
312,number_of_interaction_in__weekday__day__call,0.0
313,number_of_interaction_in__weekday__day__text,0.0
314,number_of_interaction_in__weekday__night__text,0.0
315,number_of_interaction_in__weekend__allday__call,0.006227223799606064
316,number_of_interaction_in__weekend__day__call,0.0
317,number_of_interaction_in__weekend__day__text,0.0
318,number_of_interaction_out__allweek__allday__call,0.0
319,number_of_interaction_out__allweek__allday__text,0.0
320,number_of_interaction_out__allweek__day__call,0.0
321,number_of_interaction_out__allweek__day__text,0.0
322,number_of_interaction_out__allweek__night__text,0.0
323,number_of_interaction_out__weekday__allday__call,0.0
324,number_of_interaction_out__weekday__day__call,0.0
325,number_of_interaction_out__weekday__day__text,0.0
326,number_of_interaction_out__weekday__night__call,0.005877819868146586
327,number_of_interaction_out__weekend__allday__call,0.0
328,number_of_interaction_out__weekend__day__call,0.0
329,number_of_interaction_out__weekend__night__text,0.0
330,number_of_antennas__allweek__allday,0.0
331,number_of_antennas__allweek__day,0.005842117070009109
332,number_of_antennas__allweek__night,0.0
333,number_of_antennas__weekday__allday,0.0
334,number_of_antennas__weekday__day,0.0
335,number_of_antennas__weekday__night,0.0
336,number_of_antennas__weekend__night,0.0
337,entropy_of_antennas__allweek__allday,0.0
338,entropy_of_antennas__weekday__day,0.0
339,entropy_of_antennas__weekday__night,0.0
340,entropy_of_antennas__weekend__night,0.0
341,percent_at_home__weekday__allday,0.0
342,percent_at_home__weekday__day,0.0018747718729735094
343,percent_at_home__weekend__night,0.0
344,radius_of_gyration__allweek__allday,0.0
345,radius_of_gyration__allweek__night,0.009152513446772976
346,radius_of_gyration__weekday__day,0.0
347,radius_of_gyration__weekday__night,0.0
348,radius_of_gyration__weekend__allday,0.0
349,radius_of_gyration__weekend__day,0.0
350,radius_of_gyration__weekend__night,0.0
351,frequent_antennas__weekday__day,0.0
352,frequent_antennas__weekday__night,0.0
353,frequent_antennas__weekend__day,0.0
354,frequent_antennas__weekend__night,0.0
355,churn_rate__std,0.0
356,amount_recharges__allweek__allday__median,0.0
357,amount_recharges__allweek__allday__skewness,0.0
358,amount_recharges__allweek__day__mean,0.0
359,amount_recharges__allweek__day__std,0.0
360,amount_recharges__allweek__day__skewness,0.0
361,amount_recharges__allweek__day__kurtosis,0.0
362,amount_recharges__allweek__day__max,0.0
363,amount_recharges__allweek__night__std,0.0
364,amount_recharges__allweek__night__median,0.0
365,amount_recharges__allweek__night__min,0.0
366,amount_recharges__weekday__allday__mean,0.0
367,amount_recharges__weekday__allday__std,0.0
368,amount_recharges__weekday__day__std,0.0
369,amount_recharges__weekday__day__kurtosis,0.0069472780854938345
370,amount_recharges__weekday__night__mean,0.0
371,amount_recharges__weekday__night__kurtosis,0.0
372,amount_recharges__weekday__night__min,0.007196858195866014
373,amount_recharges__weekend__allday__std,0.0
374,amount_recharges__weekend__allday__skewness,0.0
375,amount_recharges__weekend__allday__min,0.0
376,amount_recharges__weekend__day__skewness,0.009272662359787978
377,amount_recharges__weekend__day__min,0.0
378,amount_recharges__weekend__night__mean,0.0
379,amount_recharges__weekend__night__kurtosis,0.0
380,amount_recharges__weekend__night__max,0.02583717346069707
381,interevent_time_recharges__allweek__allday__std,0.0
382,interevent_time_recharges__allweek__allday__skewness,0.0
383,interevent_time_recharges__allweek__day__std,0.0
384,interevent_time_recharges__allweek__day__skewness,0.0
385,interevent_time_recharges__allweek__day__kurtosis,0.0
386,interevent_time_recharges__allweek__day__min,0.0
387,interevent_time_recharges__allweek__night__mean,0.0
388,interevent_time_recharges__allweek__night__std,0.005969510113335479
389,interevent_time_recharges__allweek__night__median,0.0
390,interevent_time_recharges__allweek__night__min,0.007428814322718331
391,interevent_time_recharges__allweek__night__max,0.0
392,interevent_time_recharges__weekday__allday__std,0.0
393,interevent_time_recharges__weekday__allday__median,0.0
394,interevent_time_recharges__weekday__allday__skewness,0.0
395,interevent_time_recharges__weekday__allday__kurtosis,0.0
396,interevent_time_recharges__weekday__allday__min,0.0
397,interevent_time_recharges__weekday__allday__max,0.0
398,interevent_time_recharges__weekday__day__median,0.0
399,interevent_time_recharges__weekday__day__skewness,0.0
400,interevent_time_recharges__weekday__day__min,0.0
401,interevent_time_recharges__weekday__day__max,0.0
402,interevent_time_recharges__weekday__night__median,0.0
403,interevent_time_recharges__weekday__night__skewness,0.00798806392617729
404,interevent_time_recharges__weekday__night__kurtosis,0.0
405,interevent_time_recharges__weekday__night__max,0.05569338078755167
406,interevent_time_recharges__weekend__allday__median,0.0
407,interevent_time_recharges__weekend__allday__skewness,0.0
408,interevent_time_recharges__weekend__allday__kurtosis,0.006271013155430737
409,interevent_time_recharges__weekend__allday__min,0.0
410,interevent_time_recharges__weekend__day__std,0.006511350373181672
411,interevent_time_recharges__weekend__day__min,1.0973597465325372e-05
412,interevent_time_recharges__weekend__day__max,0.0
413,percent_pareto_recharges__allweek__day,0.0
414,percent_pareto_recharges__weekday__allday,0.0
415,percent_pareto_recharges__weekday__day,0.004862099589510206
416,percent_pareto_recharges__weekday__night,0.0
417,percent_pareto_recharges__weekend__night,0.008366515639429136
418,number_of_recharges__allweek__night,0.008569179185568402
419,number_of_recharges__weekday__allday,0.0
420,number_of_recharges__weekday__day,0.0
421,number_of_recharges__weekday__night,0.0
422,number_of_recharges__weekend__day,0.0
